sector,keyword,last_hit_date,total_hit_count,avg_similarity_score
건설 / 인프라,재건축 재개발 시공사선정,,0,0.0
건설 / 인프라,도시정비 수주,2026-07-30,10,0.63
건설 / 인프라,우크라이나 재건,,0,0.0
건설 / 인프라,우크라이나 마셜플랜,,0,0.0
건설 / 인프라,사우디 네옴시티,,0,0.0
건설 / 인프라,중동 메가 인프라,2026-06-19,1,0.65
건설 / 인프라,건설사 부동산 PF 우려,,0,0.0
건설 / 인프라,악성 미분양 급증,2026-07-29,1,0.34
건설 / 인프라,주택 공급 부족,2026-06-23,2,0.65
건설 / 인프라,초고층 재건축 수혜,2026-07-29,1,0.3
건설 / 인프라,지하화 터널 토목 사업,,0,0.0
국방 / 방산,"K-방산 글로벌 대규모 수주 (K2 전차, 해궁, K9 자주포 등)",2026-07-29,19,0.66
국방 / 방산,K2전차 K9자주포 수출,,0,0.0
국방 / 방산,유럽 방위비 증액,,0,0.0
국방 / 방산,나토 방산 인센티브,,0,0.0
국방 / 방산,북한 미사일 도발,,0,0.0
국방 / 방산,국산 잠수함 군함 수출,2026-07-29,1,0.34
국방 / 방산,핵 보유 영구불변 강조,,0,0.0
국방 / 방산,북핵 묵인설 논란,,0,0.0
국방 / 방산,북한 오물풍선 살포,,0,0.0
국방 / 방산,북한 러시아 파병 리스크,,0,0.0
국방 / 방산,한미 확장억제대화 EDD,,0,0.0
국방 / 방산,핵협의그룹 NCG,,0,0.0
정치,여야 대권 주자 지지율,,0,0.0
정치,여야 당권 경쟁 추이,2026-07-29,6,0.64
정치,대권 주자 관련 정치 테마주 동향,,0,0.0
정치,이재명 사법 리스크,2026-07-29,12,0.61
정치,지역화폐 정책 공약주,,0,0.0
정치,총선 신당 합당 및 연대 정치적 이슈,2026-07-29,4,0.53
정치,비상계엄 사태 여파,,0,0.0
정치,탄핵 정국 관련 테마주,,0,0.0
M&A / 주요 공시,기업 무상증자,,0,0.0
M&A / 주요 공시,자사주 소각 주주환원,2026-07-29,7,0.56
M&A / 주요 공시,경영권 분쟁 지분확보,2026-07-29,10,0.6
M&A / 주요 공시,적대적 M&A 방어,,0,0.0
M&A / 주요 공시,대규모 유상증자 공시,2026-07-29,4,0.53
M&A / 주요 공시,회사채 발행 자금조달,2026-07-30,1,0.3
M&A / 주요 공시,IPO 신규 상장,2026-07-29,1,0.3
M&A / 주요 공시,신규 상장주 동향,2026-07-30,5,0.49
M&A / 주요 공시,기업 실적 호조 및 어닝 서프라이즈 발표 공시,2026-07-29,5,0.49
M&A / 주요 공시,PEF 주도 M&A,2026-07-29,1,0.32
M&A / 주요 공시,M&A 장기 지연에 따른 불확실성 리스크,2026-07-30,1,0.23
해외 이슈,"글로벌 빅테크 기업(MS, 구글, 애플, 아마존) 실적 및 투자",,0,0.0
해외 이슈,"글로벌 지정학적 위기 (러시아-우크라이나, 중동 분쟁)",,0,0.0
기타,화장품/K-뷰티 수출,2026-07-30,16,0.63
기타,이색 테마주 동향,2026-07-29,11,0.56
정부정책,기업 밸류업 프로그램 모멘텀 약화 순환매,2026-07-29,10,0.46
M&A / 주요 공시,금융업권의 운용사 및 IB 주도 성장,2026-07-28,2,0.67
우주 / 항공,"K-방산 글로벌 대규모 수주 (K2 전차, 해궁, K9 자주포 등)",2026-07-29,4,0.64
AI / 로봇,MSCI 선진국지수 편입 가능성,2026-07-28,2,0.53
코인 / STO,가상자산 시장 관망세 속 알트코인 반등,2026-07-29,16,0.61
AI / 로봇,AI 전력주 조정 후 섹터 로테이션 기대감,2026-07-29,12,0.57
국방 / 방산,기업 밸류업 프로그램 모멘텀 약화 순환매,2026-07-29,6,0.61
AI / 로봇,데이터센터 전력난 원전,2026-07-29,10,0.65
반도체,동남아 데이터센터 투자,2026-07-29,8,0.61
반도체,중국의 첨단 제조업 육성,2026-07-29,30,0.61
반도체,미국 반도체 ETF 자금 유입 추세,2026-07-29,14,0.69
이차전지,글로벌 OTT K콘텐츠 투자,2026-07-29,6,0.63
기타,북미/일본 시장 기반 K-뷰티 수출 호조,2026-07-29,8,0.6
반도체,스페이스X 스타십 시험비행,2026-07-28,2,0.67
반도체,폴더블폰 소재/부품 공급망 이슈,2026-07-29,6,0.6
AI / 로봇,정부 AI 육성 정책,2026-07-29,12,0.64
AI / 로봇,의료AI 솔루션 도입,2026-07-29,6,0.64
부동산,자사주 소각 주주환원,2026-07-28,2,0.57
부동산,주택 공급 부족,2026-07-29,3,0.7
AI / 로봇,친환경 선박 수주,2026-07-30,3,0.63
반도체,코스피 코스닥 마감 시황,2026-07-28,6,0.53
코인 / STO,트래블룰 전면 확대 및 가상자산 규제,2026-07-28,3,0.65
AI / 로봇,현대차 기아 미국공장,2026-07-28,2,0.64
경제 일반,글로벌 경기 변동에 따른 수출주 순환매,2026-07-28,1,0.49
AI / 로봇,LNG선 수주 슈퍼사이클,2026-07-29,4,0.6
반도체,AI 전력주 조정 후 섹터 로테이션 기대감,2026-07-29,5,0.71
반도체,기업 밸류업 프로그램 모멘텀 약화 순환매,2026-07-29,1,0.48
AI / 로봇,AI 데이터센터 반도체,2026-07-30,23,0.63
AI / 로봇,AI 기반 단백질 설계 및 신약 후보물질 도출,2026-07-30,8,0.61
AI / 로봇,엔비디아 블랙웰 패키징,2026-07-29,4,0.66
반도체,중국 AI+소비 육성 정책,2026-07-29,2,0.63
부동산,건설사 부동산 PF 우려,2026-07-29,2,0.61
AI / 로봇,미국 송배전 전력망 투자,2026-07-29,4,0.64
AI / 로봇,트럼프 LNG 기자재 수혜,2026-07-29,2,0.67
AI / 로봇,K조선 군함 건조 협력,2026-07-29,2,0.59
반도체,기업 실적 호조 및 어닝 서프라이즈 발표 공시,2026-07-29,3,0.54
반도체,로봇 감속기 액추에이터 수혜,2026-07-29,2,0.71
반도체,송전망 확충 특별법,2026-07-29,2,0.6
AI / 로봇,엔비디아 중국 우회 수출,2026-07-29,12,0.62
AI / 로봇,온디바이스 AI 테스터 장비,2026-07-29,2,0.61
국방 / 방산,자동차 전장부품 공급망,2026-07-29,4,0.62
AI / 로봇,5G/6G 차세대 기가비트 통신 장비 수주,2026-07-29,2,0.72
AI / 로봇,정부 자율주행 모빌리티 및 미래교통 로드맵 지원 수혜,2026-07-30,4,0.62
경제 일반,폐플라스틱 재활용,2026-07-29,3,0.68
AI / 로봇,현대차·기아 조지아 공장 동반 진출 부품 밸류체인 수혜,2026-07-29,3,0.63
코인 / STO,미국 연준 금리 결정,2026-07-29,2,0.66
AI / 로봇,비트코인 현물 ETF,2026-07-29,1,0.62
AI / 로봇,빅테크 자사주 매입,2026-07-29,4,0.64
AI / 로봇,딥페이크 대응 기술,2026-07-29,4,0.63
반도체,중국 경제적 압박,2026-07-29,3,0.61
전력 / 에너지,대미 에너지 투자 및 가스복합발전 인프라,2026-07-29,16,0.65
AI / 로봇,중국의 첨단 제조업 육성,2026-07-29,1,0.66
AI / 로봇,스테이블코인 시가총액 성장 전망,2026-07-29,1,0.51
AI / 로봇,반도체 유리기판 양산,2026-07-29,1,0.5
AI / 로봇,자율주행 레벨 4/5 팹리스 및 전장 부품 수혜,2026-07-29,1,0.61
정치,도널드 트럼프 대선 정책,2026-07-29,1,0.6
코인 / STO,이색 테마주 동향,2026-07-29,1,0.47
조선 / 해운,호르무즈 해협 유조선 유출,2026-07-29,1,0.63
코인 / STO,수도권 전셋값 상승,2026-07-29,1,0.6
AI / 로봇,동남아 데이터센터 투자,2026-07-29,1,0.61
